date,dublin_daily_mean_site_traffic,dublin_daily_median_site_traffic,dublin_daily_total_traffic,dublin_daily_n_sites,dublin_daily_n_regions
2022-07-23,16208.83317694066,14908.42857142857,14002805,892,7
2022-07-24,14881.064315688067,13062.92857142857,12988166,891,7
2022-07-25,17356.78155634404,15747.5,15079139,892,7
2022-07-26,17665.706864295855,16145.285714285714,15379491,892,7
2022-07-27,18017.431295576815,16238.142857142857,15714957,891,7
2022-07-28,18041.931972789116,16673.714285714286,15756567,892,7
2022-07-29,18191.941218758777,16516.714285714286,15840542,893,7
2022-07-30,15313.55847008944,13975.42857142857,13184859,887,7
2022-07-31,13385.628559592526,11284.142857142857,11647112,889,7
2022-08-01,13430.339593293513,11757.92857142857,11527560,888,7
2022-08-02,17148.158565706646,15843.714285714286,14866643,889,7
2022-08-03,17594.403693261607,15921.07142857143,15342787,892,7
2022-08-04,18151.522910559706,16253.57142857143,15806980,890,7
2022-08-05,18087.055191344345,16427.35714285714,15723176,892,7
2022-08-06,15942.878162482519,14511.42857142857,13789278,890,7
2022-08-07,14206.38843687713,12277.92857142857,12436807,888,7
2022-08-08,16884.117769230616,15033.07142857143,14710856,892,7
2022-08-09,17310.326645012672,15738.92857142857,15150417,891,7
2022-08-10,17889.169090783533,16182.0,15803726,899,7
2022-08-11,18285.296086315782,16236.142857142857,16038654,899,7
2022-08-12,17720.96830350901,15394.357142857143,15758948,895,7
2022-08-13,15794.07292302955,14396.92857142857,13667712,890,7
2022-08-14,14248.50111583323,12520.142857142857,12326672,892,7
2022-08-15,16893.306191965974,15039.92857142857,14810181,895,7
2022-08-16,17803.81778237771,15958.5,15577705,895,7
2022-08-17,18284.065461293587,16681.5,16059173,896,7
2022-08-18,18212.26953785158,16379.5,16082155,894,7
2022-08-19,18664.951921699143,16957.64285714286,16610291,900,7
2022-08-20,16801.207453420186,15520.5,14622044,895,7
2022-08-21,14944.839844497323,13412.785714285714,13001697,895,7
2022-08-22,17194.224672912962,15276.57142857143,15100157,897,7
2022-08-23,17992.600613479968,16282.714285714286,15828379,898,7
2022-08-24,18598.198608863542,16978.928571428572,16351438,899,7
2022-08-25,18883.41984241674,17002.85714285714,16683015,900,7
2022-08-26,19171.703122594186,17195.071428571428,16820929,898,7
2022-08-27,16984.744983308807,15284.07142857143,14864802,897,7
2022-08-28,15295.940407799415,13593.142857142857,13363683,896,7
2022-08-29,17951.954945459485,16026.214285714286,15798923,899,7
2022-08-30,18505.640308529204,16611.85714285714,16295399,900,7
2022-08-31,15454.409518867062,14321.714285714286,14951013,901,7
