date,daily_mean_pm25,pm25_count,pm25_min,pm25_max
2021-10-18,2.7149872769506915,18942,0.071,334.644
2021-10-19,3.943332949259591,23433,0.071,236.635
2021-10-20,11.459043782751358,20419,3.075,124.281
2021-10-21,8.469090795576168,11212,2.233,545.831
2021-10-22,4.008611222719386,21902,0.473,220.182
2021-10-26,10.644057511448127,20309,1.744,287.913
2021-10-27,2.2527840168243953,19020,0.091,150.706
2021-10-28,5.124969760022195,21627,0.294,745.484
2021-10-29,7.228657137165056,20078,1.194,174.107
2021-11-01,4.151223477442248,13809,0.498,56.078
2021-11-02,6.867669873141225,23806,0.946,422.151
2021-11-03,5.181187325809842,21887,0.148,107.686
2021-11-04,5.179805660104227,13816,0.381,211.166
2021-11-05,6.036448988804623,22152,0.812,534.692
2021-11-08,5.670856686731223,19105,0.81,96.427
2021-11-09,7.784949822358495,20547,0.392,140.942
2021-11-10,11.925286383976134,23465,2.41,1960.163
2021-11-11,3.488355394474209,19038,0.071,185.862
2021-11-12,4.428190869465474,17436,0.289,381.352
2021-11-15,6.680482386634845,20950,1.264,102.827
2021-11-16,6.0135460051359075,20639,0.491,297.57
2021-11-17,17.37963064726814,22201,6.582,298.088
2021-11-18,4.173451707045907,21587,0.215,401.381
2021-11-19,3.0729847104749513,21518,0.114,122.411
2021-11-23,7.511307782411095,21343,0.921,173.049
2021-11-24,6.912676963993454,24440,1.982,314.646
2021-11-25,13.402163657542225,13736,4.334,125.51
2021-11-26,9.201458273266057,18729,0.574,285.749
2021-11-29,5.3956685271460865,21679,0.62,377.994
2021-11-30,2.6892589280875736,18453,0.21,196.802
2021-12-01,8.741682354041915,21376,0.694,144.587
2021-12-02,10.156973488445711,12636,2.24,189.555
2021-12-03,17.86118254359618,22307,5.963,234.63
2021-12-06,8.406419342540032,23606,0.882,205.711
2021-12-07,7.115048804923429,20961,0.244,63.697
2021-12-08,11.28753282211174,11867,4.0,55.926
2021-12-09,6.869165146489773,21708,0.285,99.584
2021-12-10,11.36388787096774,7750,4.552,147.062
2021-12-13,15.27057489363783,20449,3.433,291.505
2021-12-14,5.433541717049577,20675,0.916,83.877
2021-12-15,5.461494051964784,23285,0.451,284.956
2021-12-16,9.633968670309654,10980,2.085,131.675
2021-12-17,10.155234927234927,17316,3.356,216.157
2021-12-20,10.74542001142323,19259,3.125,111.712
2021-12-21,18.128529998986522,19734,5.74,230.085
2021-12-22,8.722738387978142,1464,3.491,23.215
2021-12-23,7.80858833360289,18549,0.499,94.948
2021-12-24,18.133645660512,22422,3.61,86.704
2022-01-04,11.71599797102817,21193,3.485,94.867
2022-01-06,7.412764096566702,11971,1.188,67.58
2022-01-07,4.988351486731323,18766,0.482,146.468
2022-01-10,4.840997961402555,22074,0.707,1317.421
2022-01-11,17.722284829264694,13559,6.627,132.629
2022-01-12,13.196560217339947,21165,2.813,510.759
2022-01-13,11.601196662747581,22114,2.64,247.495
2022-01-14,22.123478559503937,20965,6.191,484.827
2022-01-17,18.479877172774867,9550,7.776,540.56
2022-01-18,8.341732536094502,13714,1.594,149.734
2022-01-19,9.134747398636527,11148,2.085,189.724
2022-01-20,11.935462324981577,10856,4.659,140.872
2022-01-24,30.384438733337213,17179,17.79,257.715
2022-01-25,13.92805803664739,14353,3.143,165.213
2022-01-26,12.78058641234066,21652,3.375,621.165
2022-01-27,6.904894670269648,17393,0.646,106.481
2022-01-28,3.1646762318293375,5297,0.534,149.81
2022-02-01,2.544322434215193,14099,0.166,71.423
2022-02-02,9.62687906942717,13669,3.386,84.259
2022-02-03,8.054876412496439,21062,0.882,365.678
2022-02-04,4.13910798463983,15104,0.405,57.589
2022-02-07,5.29495867768595,13552,0.272,748.775
2022-02-08,2.5378467382569947,13689,0.343,65.091
2022-02-09,11.626584358872568,10076,3.051,186.909
2022-02-10,7.576451555713145,22562,0.94,170.169
2022-02-11,8.190919831730769,16640,1.612,504.074
2022-02-14,7.232555490805491,15444,1.215,238.276
2022-02-15,21.79669730283691,21467,9.166,259.003
2022-02-16,11.128974376123397,23923,0.223,150.301
2022-02-17,4.838322890790321,21738,0.657,111.806
