date,maxtp,mintp,rain,wdsp,hm,hg,sun,g_rad,pe,evap
2022-05-16,19.4,11.6,5.7,8.8,15,23,4.6,1607,2.9,4.0
2022-05-17,15.4,9.3,11.4,8.2,14,20,0.8,588,1.3,1.8
2022-05-18,16.3,9.9,1.5,12.6,23,32,3.4,1441,2.6,3.9
2022-05-19,17.6,6.9,0.0,9.8,17,26,13.4,2388,3.4,5.1
2022-05-20,16.3,10.0,0.5,10.8,21,30,6.4,1721,2.8,4.1
2022-05-21,17.6,10.0,0.1,8.2,14,21,1.2,1398,1.8,2.2
2022-05-22,17.6,9.7,1.3,8.8,15,24,2.0,1272,2.5,3.4
2022-05-23,15.7,8.4,1.3,9.1,19,26,5.7,1946,2.8,4.2
2022-05-24,16.6,7.8,0.0,11.0,18,25,5.4,2032,3.2,4.7
2022-05-25,17.6,9.8,0.7,13.2,22,31,6.7,2156,3.3,5.0
2022-05-26,17.6,7.9,2.0,13.0,21,31,5.5,1993,2.9,4.5
2022-05-27,16.8,5.0,0.0,10.6,19,26,14.4,2944,3.8,5.9
2022-05-28,16.8,2.4,0.0,5.2,9,15,10.0,2218,3.0,4.2
2022-05-29,13.8,2.3,0.0,8.2,17,26,9.1,2289,2.4,3.9
2022-05-30,13.5,4.9,0.8,9.7,18,26,0.4,1202,1.9,2.9
2022-05-31,15.4,3.4,2.6,10.0,21,27,5.8,1749,2.4,3.7
2022-06-01,16.2,3.2,1.3,6.2,10,15,12.9,2636,3.3,4.8
2022-06-02,15.6,2.3,5.4,5.1,13,17,4.0,1353,2.0,2.8
2022-06-03,15.4,9.4,0.7,9.1,15,26,6.1,1793,2.4,3.7
2022-06-04,14.8,10.9,0.0,14.6,21,29,6.9,2272,3.1,5.1
2022-06-05,11.5,10.2,3.8,10.5,15,20,0.0,466,1.0,1.5
2022-06-06,15.6,5.1,0.0,6.6,11,15,8.8,2469,2.9,4.4
2022-06-07,16.3,3.2,0.4,6.8,12,20,9.7,2433,2.7,4.1
2022-06-08,18.3,11.3,1.3,11.5,23,32,10.1,2454,3.7,5.5
2022-06-09,20.3,10.8,4.9,8.3,17,25,4.6,1496,2.7,3.8
2022-06-10,18.5,11.8,4.6,11.0,19,32,9.7,2013,3.1,4.7
2022-06-11,18.2,11.3,0.8,11.2,18,29,6.2,1946,3.4,4.9
2022-06-12,16.2,10.2,0.3,12.0,23,30,4.7,1725,2.9,4.4
2022-06-13,15.7,10.2,0.0,7.5,13,17,0.2,1235,2.4,3.3
2022-06-14,17.3,10.3,0.0,5.7,11,17,1.6,1621,3.0,4.0
2022-06-15,19.4,9.0,0.0,5.2,11,15,10.3,2553,3.8,5.2
2022-06-16,22.6,10.1,0.0,5.6,10,17,3.6,1856,3.5,4.6
2022-06-17,18.9,11.3,0.0,8.7,15,25,0.2,895,2.3,3.0
2022-06-18,16.0,6.5,0.0,9.2,15,22,4.8,1584,2.6,3.8
2022-06-19,17.4,8.1,0.0,12.4,19,26,6.2,1827,3.1,4.6
2022-06-20,20.2,5.6,0.0,5.8,11,15,15.5,2960,4.0,5.7
2022-06-21,18.2,11.3,0.0,5.0,11,15,0.3,1278,2.3,3.1
2022-06-22,19.1,13.8,0.7,3.2,6,9,0.1,994,2.0,2.5
2022-06-23,21.9,13.7,0.0,4.7,9,12,3.9,1691,3.1,4.0
2022-06-24,18.3,11.5,1.3,8.4,15,24,4.2,1341,2.3,3.3
2022-06-25,17.8,9.4,1.1,12.3,18,33,7.7,2232,3.6,5.3
2022-06-26,18.3,10.9,7.7,10.5,17,28,4.2,1839,3.1,4.5
2022-06-27,16.9,8.7,0.4,9.5,14,24,6.7,2017,3.2,4.6
2022-06-28,18.8,12.3,6.8,10.0,18,30,4.5,1592,3.0,4.2
2022-06-29,18.5,11.0,1.5,6.2,11,16,4.5,1697,2.9,4.0
2022-06-30,17.6,11.1,0.6,7.1,14,19,1.3,1310,2.5,3.4
2022-07-01,17.6,11.3,2.5,6.8,12,19,1.5,1326,2.4,3.2
2022-07-02,19.4,10.7,1.1,7.0,15,21,4.3,1686,2.9,4.0
2022-07-03,18.3,10.0,0.2,12.0,17,26,3.6,1943,3.2,4.7
2022-07-04,18.1,11.0,0.4,12.2,17,24,3.8,1654,3.2,4.5
2022-07-05,19.7,11.8,0.1,10.8,15,20,0.5,1073,2.4,3.3
2022-07-06,20.1,14.2,0.0,15.6,23,31,2.1,1615,2.9,4.5
2022-07-07,22.4,13.3,0.0,10.7,18,25,7.7,2093,3.5,5.1
2022-07-08,21.0,10.5,0.0,9.5,14,20,4.1,1998,3.1,4.5
2022-07-09,21.0,15.4,0.0,8.3,13,18,1.6,1437,2.8,3.8
2022-07-10,21.4,10.8,0.0,5.5,11,15,10.9,2626,3.9,5.4
2022-07-11,27.2,8.9,0.0,5.5,13,21,5.9,2041,4.0,5.2
2022-07-12,22.1,10.8,1.0,7.3,14,19,1.2,1103,2.3,3.1
2022-07-13,20.4,10.2,0.0,9.8,14,23,9.2,2311,3.9,5.5
2022-07-14,19.7,10.9,0.0,9.8,14,21,8.2,2015,3.4,4.8
2022-07-15,21.1,11.6,0.0,8.7,15,21,5.6,2033,3.5,4.9
2022-07-16,22.2,10.2,0.2,5.0,10,14,9.9,2434,3.6,5.0
2022-07-17,27.8,14.2,0.0,6.0,12,19,7.4,2233,4.4,5.7
2022-07-18,29.1,12.9,0.0,4.5,10,14,9.4,2256,4.5,5.8
2022-07-19,26.5,14.3,0.4,6.2,14,18,6.0,1784,3.6,4.7
2022-07-20,19.0,12.6,0.0,11.7,17,24,0.9,1357,2.8,3.9
2022-07-21,18.0,10.6,0.0,5.9,9,14,0.2,1246,2.5,3.3
2022-07-22,20.0,10.9,0.0,5.2,11,15,8.5,2156,3.4,4.6
2022-07-23,23.1,14.4,5.1,8.8,17,26,1.1,1029,2.5,3.2
2022-07-24,23.2,14.9,6.2,10.2,18,32,6.8,1763,3.3,4.6
2022-07-25,19.1,12.7,0.2,14.3,21,33,2.2,1473,2.9,4.2
2022-07-26,17.9,9.0,0.0,6.8,11,17,2.0,1457,2.7,3.6
2022-07-27,16.6,6.6,0.0,5.1,9,13,1.1,1338,2.1,2.9
2022-07-28,17.9,10.2,0.0,4.8,11,18,2.2,1638,2.5,3.4
2022-07-29,21.5,10.1,0.2,5.6,11,17,1.2,1195,2.3,3.1
2022-07-30,20.6,15.3,9.1,7.3,12,21,0.1,696,1.5,2.1
2022-07-31,19.4,11.1,2.9,5.3,9,13,2.4,1272,2.1,2.9
2022-08-01,20.7,8.5,1.9,7.5,14,28,4.7,1255,1.9,2.8
2022-08-02,24.5,16.9,0.2,10.0,14,27,6.1,1657,3.5,4.7
2022-08-03,20.4,11.1,0.0,11.5,18,27,6.1,1866,3.1,4.5
2022-08-04,18.3,8.9,0.0,11.6,19,26,8.6,1878,3.3,4.7
2022-08-05,19.1,6.0,0.0,9.2,16,22,5.7,1822,2.9,4.2
2022-08-06,19.7,7.0,0.0,7.6,14,19,6.6,1667,2.8,3.9
2022-08-07,22.2,10.7,0.0,8.0,15,20,12.5,2263,3.7,5.1
2022-08-08,22.5,8.7,0.0,5.0,10,17,13.1,2412,3.6,4.9
2022-08-09,23.7,10.3,0.0,5.2,9,14,14.5,2405,3.8,5.1
2022-08-10,25.7,10.1,0.0,5.2,10,14,14.2,2492,4.3,5.6
2022-08-11,26.3,9.5,0.0,4.6,10,14,14.3,2490,4.2,5.5
2022-08-12,25.3,10.0,0.0,6.5,11,23,13.9,2436,4.0,5.4
2022-08-13,24.3,10.0,0.0,6.5,11,23,12.6,2257,3.6,4.9
2022-08-14,25.3,11.3,0.6,5.3,9,19,6.0,1621,3.0,3.9
2022-08-15,21.2,13.9,26.8,4.9,11,15,1.4,936,1.7,2.3
2022-08-16,18.0,10.7,0.0,11.8,15,21,0.3,906,2.1,2.9
2022-08-17,17.7,9.8,0.1,6.3,11,15,1.7,1078,1.9,2.6
2022-08-18,22.1,13.0,0.4,8.3,19,27,3.5,1101,2.5,3.2
2022-08-19,20.0,11.6,0.0,9.2,18,27,5.7,1509,2.8,3.9
2022-08-20,22.7,11.5,0.7,10.9,18,30,4.1,1387,3.1,4.1
2022-08-21,19.6,9.2,0.0,6.7,11,16,10.8,2216,3.1,4.3
2022-08-22,23.0,13.8,1.2,6.0,14,19,2.5,1154,2.3,3.0
2022-08-23,22.9,15.7,0.5,5.7,12,15,6.2,1696,3.1,4.1
2022-08-24,19.7,12.6,2.1,6.7,16,23,3.8,1302,2.4,3.2
2022-08-25,19.8,10.7,0.0,5.5,12,15,5.9,1467,2.6,3.4
2022-08-26,18.1,7.8,0.0,6.9,14,18,1.4,869,1.6,2.2
2022-08-27,19.9,6.6,0.0,4.1,9,16,11.5,1882,2.6,3.5
2022-08-28,17.8,9.8,0.0,5.2,8,17,0.0,819,1.5,2.0
2022-08-29,21.5,12.0,0.0,8.4,14,19,7.7,1579,2.5,3.5
2022-08-30,19.1,10.5,0.0,8.5,13,19,8.1,1754,2.4,3.4
2022-08-31,18.2,8.4,0.1,8.0,12,20,8.5,1638,2.1,3.1
