date,location_label,mean_daily_site_volume,median_daily_site_volume,total_daily_site_volume,n_sites
2021-06-19,north,15753.76649746193,15113.0,3103492,197
2021-06-19,south,13883.358620689654,14624.0,2013087,145
2021-06-20,north,14072.989847715737,13248.0,2772379,197
2021-06-20,south,12137.372413793104,12289.0,1759919,145
2021-06-21,north,16632.451776649745,15654.0,3276593,197
2021-06-21,south,14250.662068965516,14879.0,2066346,145
2021-06-22,north,16998.223350253807,16029.0,3348650,197
2021-06-22,south,14688.813793103447,15529.0,2129878,145
2021-06-23,north,17102.472081218275,15857.0,3369187,197
2021-06-23,south,14834.643835616438,14838.5,2165858,146
2021-06-24,north,17532.4923857868,16839.0,3453901,197
2021-06-24,south,15367.732876712327,15875.5,2243689,146
2021-06-25,north,17770.695431472082,17205.0,3500827,197
2021-06-25,south,15635.849315068494,15604.0,2282834,146
2021-06-26,north,15251.55837563452,14853.0,3004557,197
2021-06-26,south,13503.903448275862,13924.0,1958066,145
2021-06-27,north,13759.55837563452,13305.0,2710633,197
2021-06-27,south,12112.758620689656,12692.0,1756350,145
2021-06-28,north,16516.903553299493,15589.0,3253830,197
2021-06-28,south,13986.554794520547,14579.0,2042037,146
2021-06-29,north,17128.913705583756,16554.0,3374396,197
2021-06-29,south,14669.089041095893,15304.0,2141687,146
2021-06-30,north,17340.065989847717,16578.0,3415993,197
2021-06-30,south,15119.198630136989,15930.0,2207403,146
2021-07-01,north,17504.45685279188,16496.0,3448378,197
2021-07-01,south,15300.438356164384,15836.0,2233864,146
2021-07-02,north,17709.20304568528,16804.0,3488713,197
2021-07-02,south,15484.220689655172,15989.0,2245212,145
2021-07-03,north,15271.375634517766,14338.0,3008461,197
2021-07-03,south,13223.48275862069,13662.0,1917405,145
2021-07-04,north,13520.197969543147,13052.0,2663479,197
2021-07-04,south,11945.586206896553,12498.0,1732110,145
2021-07-05,north,16031.482233502538,15034.0,3158202,197
2021-07-05,south,14018.979310344828,14862.0,2032752,145
2021-07-06,north,16613.888324873096,15546.0,3272936,197
2021-07-06,south,14444.53103448276,14995.0,2094457,145
2021-07-07,north,16840.878172588833,15814.0,3317653,197
2021-07-07,south,14619.262068965518,15333.0,2119793,145
2021-07-08,north,17333.142131979694,16282.0,3414629,197
2021-07-08,south,15304.772413793104,16168.0,2219192,145
2021-07-09,north,17624.54314720812,16665.0,3472035,197
2021-07-09,south,15334.287671232876,15839.0,2238806,146
2021-07-10,north,15300.497461928931,14462.0,3014198,197
2021-07-10,south,13202.205479452055,13761.5,1927522,146
2021-07-11,north,13220.609137055835,12248.0,2604460,197
2021-07-11,south,11885.609589041096,12269.5,1735299,146
2021-07-12,north,16100.335025380711,15134.0,3171766,197
2021-07-12,south,13861.280821917808,14234.0,2023747,146
2021-07-13,north,16568.989847715737,15569.0,3264091,197
2021-07-13,south,14288.54109589041,14911.5,2086127,146
2021-07-14,north,17020.36040609137,16064.0,3353011,197
2021-07-14,south,14745.90410958904,15428.0,2152902,146
2021-07-15,north,17391.472081218275,16388.0,3426120,197
2021-07-15,south,14801.993150684932,15388.5,2161091,146
2021-07-16,north,17644.79695431472,16730.0,3476025,197
2021-07-16,south,15219.876712328767,15809.5,2222102,146
2021-07-17,north,15185.41116751269,14428.0,2991526,197
2021-07-17,south,13015.548611111111,13680.0,1874239,144
2021-07-18,north,13772.568527918782,12681.0,2713196,197
2021-07-18,south,11597.0625,11631.0,1669977,144
2021-07-19,north,16585.18274111675,15418.0,3267281,197
2021-07-19,south,13757.213793103449,14567.0,1994796,145
2021-07-20,north,16931.071065989847,16208.0,3335421,197
2021-07-20,south,14335.158620689655,15100.0,2078598,145
2021-07-21,north,17147.984771573603,16474.0,3378153,197
2021-07-21,south,14611.868965517242,15328.0,2118721,145
2021-07-22,north,17115.401015228428,15339.0,3371734,197
2021-07-22,south,14771.83448275862,15510.0,2141916,145
2021-07-23,north,17531.46700507614,16277.0,3453699,197
2021-07-23,south,15252.096551724138,15728.0,2211554,145
2021-07-24,north,15059.72081218274,14181.0,2966765,197
2021-07-24,south,13041.296551724135,13989.0,1890988,145
2021-07-25,north,13501.172588832487,12597.0,2659731,197
2021-07-25,south,11618.441379310343,12415.0,1684674,145
2021-07-26,north,16062.116751269035,14697.0,3164237,197
2021-07-26,south,13541.143835616438,14236.0,1977007,146
2021-07-27,north,16220.680203045686,14949.0,3195474,197
2021-07-27,south,13968.582191780824,14328.5,2039413,146
2021-07-28,north,16855.54314720812,15611.0,3320542,197
2021-07-28,south,14572.801369863011,15282.0,2127629,146
2021-07-29,north,17096.269035532994,15688.0,3367965,197
2021-07-29,south,14811.061643835616,15265.5,2162415,146
2021-07-30,north,17432.700507614212,15828.0,3434242,197
2021-07-30,south,15087.979310344828,15848.0,2187757,145
2021-07-31,north,14634.903553299491,13388.0,2883076,197
2021-07-31,south,12285.6,12775.0,1781412,145
2021-08-01,north,12789.451776649748,11708.0,2519522,197
2021-08-01,south,10860.103448275862,11568.0,1574715,145
2021-08-02,north,12639.020304568528,11921.0,2489887,197
2021-08-02,south,10419.96551724138,10894.0,1510895,145
2021-08-03,north,16020.908629441625,14555.0,3156119,197
2021-08-03,south,13536.151724137932,14174.0,1962742,145
2021-08-04,north,16144.05076142132,14187.0,3180378,197
2021-08-04,south,13791.744827586206,14420.0,1999803,145
2021-08-05,north,16529.99494949495,14981.5,3272939,198
2021-08-05,south,14487.689655172411,15191.0,2100715,145
2021-08-06,north,17137.78787878788,15565.0,3393282,198
2021-08-06,south,14901.537931034483,15896.0,2160723,145
2021-08-07,north,14947.91414141414,13477.0,2959687,198
2021-08-07,south,12928.537931034483,13440.0,1874638,145
2021-08-08,north,13392.68686868687,12367.0,2651752,198
2021-08-08,south,11661.593103448276,12394.0,1690931,145
2021-08-09,north,15932.959595959595,14599.0,3154726,198
2021-08-09,south,13492.53103448276,14460.0,1956417,145
